basin,total_area
PNG_IRJA,5749.049913015999
PER_PERU,40418.3746609653
BDI_NILE,669.462247314
TZA_CONG,11790.701468180001
PNG_SEPI,7941.229920047402
IDN_JATI,44060.9756838
AGO_CONG,24086.83396266
PNG_FLYY,2501.077637702
AGO_ANGC,44358.482496300014
SLB_SOLI,10706.566003062802
ZMB_CONG,15836.704423874
TLS_JATI,3856.0911078641993
TUV_TUVA,305.8402588
BRA_UBSA,89995.55289800801
ZMB_ZAMB,55162.63632538401
BOL_AMAZ,59893.210498700006
MWI_ZAMB,8280.25387604
MOZ_AECC,36795.1774903
AUS_AUNC,189712.20829953882
SLB_SPII,3943.7672612000006
AGO_ZAMB,23000.268995492
COM_MADA,1511.6687012
MDG_MADA,72546.5955082
AGO_ASII,15706.118550618998
MOZ_ZAMB,9546.0174320108
FJI_SPII,8256.962891199999
VUT_SPII,8604.4976073
BRA_LAPL,122118.840913352
MWI_AECC,250.68476266200005
BOL_LPUN,12094.987593617001
ZWE_ZAMB,21254.042599465996
BOL_LAPL,16782.546625774
NAM_NAMC,29990.8582234152
AUS_AINT,272005.465092824
NAM_ASII,26668.760056088
AUS_AEAC,84778.6603509
CHL_NCHI,31055.415065327004
ZWE_AIOC,6646.6435071939995
MOZ_AIOC,14689.2480957
CHL_LPUN,3484.419482189
BWA_ASII,28252.779028699995
BWA_ORAN,11443.118433296002
PRY_LAPL,40128.266729055
ZWE_ASII,1505.931031695
AUS_AWEC,82348.0337509122
NCL_SPII,7772.118701299999
ZWE_LIMP,5926.881254065
BWA_LIMP,5174.141529071
NAM_ORAN,23033.73971388701
MOZ_LIMP,9961.077012037
ARG_LAPL,73390.581638
ZAF_LIMP,15295.753317972001
ZAF_SASC,39598.570409542706
ZAF_ORAN,52464.988682043
AUS_MRDA,93240.27058084021
ARG_SGRN,30320.903366465
SWZ_SASC,881.7715469899999
ARG_SACC,32469.9597131201
AUS_ASCO,56665.000998328
ZAF_SAWC,13063.4259182054
LSO_ORAN,1344.1900635000002
URY_LAPL,13445.0882076785
URY_UBSA,4251.306548254301
ARG_PAMP,15847.332347593001
CHL_SCPA,58982.25058973351
ARG_NASA,20153.258141559403
NZL_NZLZ,42353.8035517
ARG_NEGR,21036.4811774
ARG_SASS,51593.1750413685
ZAF_ANTC,211.747998
NOR_ANTC,180.5557617
AUS_NZLZ,178.36021730000002
