region,year,type,value
BOL_AMAZ,2050,FRS,28290.00202240721
BOL_AMAZ,2050,GL,16639.64373888536
BOL_AMAZ,2050,CL,3185.465198672617
BOL_AMAZ,2100,FRS,35425.058918473376
BOL_AMAZ,2100,GL,21805.38077508724
BOL_AMAZ,2100,CL,3936.6188510955735
BOL_LAPL,2005,FRS,69.23138295440108
BOL_LAPL,2005,GL,12073.286871170843
BOL_LAPL,2005,CL,315.143133587575
BOL_LAPL,2050,FRS,66.53732294306815
BOL_LAPL,2050,GL,9747.113338874771
BOL_LAPL,2050,CL,523.2971631655007
BOL_LAPL,2100,FRS,71.10578087972785
BOL_LAPL,2100,GL,14301.320656285889
BOL_LAPL,2100,CL,867.5095095540013
BOL_LPUN,2005,FRS,12.592540585682451
BOL_LPUN,2005,GL,1996.940407172736
BOL_LPUN,2005,CL,91.82130261027548
BOL_LPUN,2050,FRS,12.139985526268273
BOL_LPUN,2050,GL,1456.7869920147984
BOL_LPUN,2050,CL,107.77132787723
BOL_LPUN,2100,FRS,13.911821072218858
BOL_LPUN,2100,GL,5912.63929044675
BOL_LPUN,2100,CL,409.9220204965538
BRA_AMAZ,2005,FRS,342963.1099890888
BRA_AMAZ,2005,GL,1603.5619111346366
BRA_AMAZ,2005,CL,8402.23892324641
BRA_AMAZ,2050,FRS,324122.07804819406
BRA_AMAZ,2050,GL,1599.086800901216
BRA_AMAZ,2050,CL,10453.157040691918
BRA_AMAZ,2100,FRS,352368.5586825157
BRA_AMAZ,2100,GL,1616.4043762919353
BRA_AMAZ,2100,CL,5680.776152962015
BRA_LAPL,2005,FRS,21861.786773101245
BRA_LAPL,2005,GL,5436.1669464944725
BRA_LAPL,2005,CL,30169.368249120467
BRA_LAPL,2050,FRS,12336.751334830598
BRA_LAPL,2050,GL,2018.929240658912
BRA_LAPL,2050,CL,30623.560358386327
BRA_LAPL,2100,FRS,65328.16364336778
BRA_LAPL,2100,GL,18536.500228720743
BRA_LAPL,2100,CL,26533.265924752388
BRA_SAOF,2005,FRS,6319.42452249996
BRA_SAOF,2005,GL,70607.84734889136
BRA_SAOF,2005,CL,8320.788303664007
BRA_SAOF,2050,FRS,2846.145659977185
BRA_SAOF,2050,GL,50227.09801641022
BRA_SAOF,2050,CL,11830.247992220273
BRA_SAOF,2100,FRS,8462.03321229928
BRA_SAOF,2100,GL,83690.50358689125
BRA_SAOF,2100,CL,8484.369479950248
BRA_TOCA,2005,FRS,57003.582066351046
BRA_TOCA,2005,GL,3096.174161356387
BRA_TOCA,2005,CL,10963.19077056796
BRA_TOCA,2050,FRS,39258.99307698884
BRA_TOCA,2050,GL,2291.2124631812844
BRA_TOCA,2050,CL,12631.041562719249
BRA_TOCA,2100,FRS,89351.49349414403
BRA_TOCA,2100,GL,4312.490883549343
BRA_TOCA,2100,CL,5463.613674849191
BRA_UBSA,2005,FRS,14395.933014974318
BRA_UBSA,2005,GL,21763.95573305636
BRA_UBSA,2005,CL,9241.178930493465
BRA_UBSA,2050,FRS,9556.511383551206
BRA_UBSA,2050,GL,15059.890536326984
BRA_UBSA,2050,CL,10883.707628295086
BRA_UBSA,2100,FRS,20977.810106177752
BRA_UBSA,2100,GL,35829.133485081475
BRA_UBSA,2100,CL,8177.76172672439
BRB_CARC,2005,GL,43.16158199865876
BRB_CARC,2050,GL,43.5930078985722
BRB_CARC,2100,GL,43.6835521744901
BTN_GABR,2005,FRS,2697.26621194304
BTN_GABR,2050,FRS,2697.0323150470954
BTN_GABR,2100,FRS,2696.7888940793146
BWA_ASII,2005,FRS,9417.174776376194
BWA_ASII,2005,GL,8225.187660334916
BWA_ASII,2005,CL,62.39680011834479
BWA_ASII,2050,FRS,1746.6681734389576
BWA_ASII,2050,GL,3270.940317957587
BWA_ASII,2050,CL,46.57465903061865
BWA_ASII,2100,FRS,1573.6688978796344
BWA_ASII,2100,GL,3263.545631998285
BWA_ASII,2100,CL,68.53316535274519
BWA_LIMP,2005,FRS,2082.8593435904804
BWA_LIMP,2005,GL,1778.5986318201408
BWA_LIMP,2005,CL,99.5656915943712
BWA_LIMP,2050,FRS,614.5186374574201
BWA_LIMP,2050,GL,565.0091979730532
BWA_LIMP,2050,CL,64.61205399827847
BWA_LIMP,2100,CL,28.624895441355854
BWA_ORAN,2005,FRS,3869.267671798373
BWA_ORAN,2005,GL,3790.6592303829393
BWA_ORAN,2005,CL,15.395949371929492
BWA_ORAN,2050,FRS,3063.506216425405
BWA_ORAN,2050,GL,3456.9460012021527
BWA_ORAN,2050,CL,4.517608907330184
BWA_ORAN,2100,FRS,3057.277363208853
BWA_ORAN,2100,GL,3454.7947451386003
BWA_ORAN,2100,CL,0.3981088146777314
CAF_CONG,2005,FRS,20972.53184841574
CAF_CONG,2005,GL,13062.474260063018
CAF_CONG,2005,CL,704.6069833924959
CAF_CONG,2050,FRS,20106.857468067752
CAF_CONG,2050,GL,12098.217465420888
CAF_CONG,2050,CL,855.1261909384723
CAF_CONG,2100,FRS,21638.72516149667
CAF_CONG,2100,GL,13361.177304979949
CAF_CONG,2100,CL,653.272457035031
CAF_LCHA,2005,FRS,580.2111273892989
CAF_LCHA,2005,GL,16971.3352043075
CAF_LCHA,2005,CL,491.9505078416262
CAF_LCHA,2050,FRS,535.6145099839982
CAF_LCHA,2050,GL,15794.627104046069
CAF_LCHA,2050,CL,615.8345793567139
CAF_LCHA,2100,FRS,385.829433609495
CAF_LCHA,2100,GL,12066.507446153177
CAF_LCHA,2100,CL,386.8090359993872
CAN_AOSB,2005,FRS,46017.87391340025
CAN_AOSB,2005,GL,4539.771759531405
CAN_AOSB,2005,CL,413.38714246755575
CAN_AOSB,2050,FRS,45210.34028706036
CAN_AOSB,2050,GL,4553.740983608059
CAN_AOSB,2050,CL,408.6801436780936
CAN_AOSB,2100,FRS,45112.15157909136
CAN_AOSB,2100,GL,4584.86308831593
CAN_AOSB,2100,CL,315.68266680104523
CAN_HBCO,2005,FRS,153648.59807850816
CAN_HBCO,2005,GL,3334.255877672464
CAN_HBCO,2005,CL,340.1852084964036
CAN_HBCO,2050,FRS,153478.81025561204
CAN_HBCO,2050,GL,3334.8617700364302
CAN_HBCO,2050,CL,199.40690171684236
CAN_HBCO,2100,FRS,152003.87104258075
CAN_HBCO,2100,GL,3333.8188128133925
CAN_HBCO,2100,CL,123.07398069613286
CAN_MACK,2005,FRS,147632.8395583163
