RISO,G,Text
DZA,81719,c_bool(False)
DZA,81720,c_bool(False)
DZA,81721,c_bool(False)
DZA,81722,c_bool(False)
DZA,81723,c_bool(False)
DZA,81724,c_bool(False)
DZA,81725,c_bool(False)
DZA,81726,c_bool(False)
DZA,81727,c_bool(False)
DZA,81728,c_bool(False)
DZA,81729,c_bool(False)
DZA,81730,c_bool(False)
DZA,81731,c_bool(False)
DZA,81732,c_bool(False)
DZA,81733,c_bool(False)
DZA,81734,c_bool(False)
DZA,81735,c_bool(False)
DZA,81736,c_bool(False)
DZA,81737,c_bool(False)
DZA,82438,c_bool(False)
DZA,82439,c_bool(False)
DZA,82440,c_bool(False)
DZA,82441,c_bool(False)
DZA,82442,c_bool(False)
DZA,82443,c_bool(False)
DZA,82444,c_bool(False)
DZA,82445,c_bool(False)
DZA,82446,c_bool(False)
DZA,82447,c_bool(False)
DZA,82448,c_bool(False)
DZA,82449,c_bool(False)
DZA,82450,c_bool(False)
DZA,82451,c_bool(False)
DZA,82452,c_bool(False)
DZA,82453,c_bool(False)
DZA,82454,c_bool(False)
DZA,82455,c_bool(False)
DZA,82456,c_bool(False)
DZA,82457,c_bool(False)
DZA,83155,c_bool(False)
DZA,83156,c_bool(False)
DZA,83157,c_bool(False)
DZA,83158,c_bool(False)
DZA,83159,c_bool(False)
DZA,83160,c_bool(False)
DZA,83161,c_bool(False)
DZA,83162,c_bool(False)
DZA,83163,c_bool(False)
DZA,83164,c_bool(False)
DZA,83165,c_bool(False)
DZA,83166,c_bool(False)
DZA,83167,c_bool(False)
DZA,83168,c_bool(False)
DZA,83169,c_bool(False)
DZA,83170,c_bool(False)
DZA,83171,c_bool(False)
DZA,83172,c_bool(False)
DZA,83173,c_bool(False)
DZA,83174,c_bool(False)
DZA,83175,c_bool(False)
DZA,83176,c_bool(False)
DZA,83177,c_bool(False)
DZA,83178,c_bool(False)
DZA,83179,c_bool(False)
DZA,83873,c_bool(False)
DZA,83874,c_bool(False)
DZA,83875,c_bool(False)
DZA,83876,c_bool(False)
DZA,83877,c_bool(False)
DZA,83878,c_bool(False)
DZA,83879,c_bool(False)
DZA,83880,c_bool(False)
DZA,83881,c_bool(False)
DZA,83882,c_bool(False)
DZA,83883,c_bool(False)
DZA,83884,c_bool(False)
DZA,83885,c_bool(False)
DZA,83886,c_bool(False)
DZA,83887,c_bool(False)
DZA,83888,c_bool(False)
DZA,83889,c_bool(False)
DZA,83890,c_bool(False)
DZA,83891,c_bool(False)
DZA,83892,c_bool(False)
DZA,83893,c_bool(False)
DZA,83894,c_bool(False)
DZA,83895,c_bool(False)
DZA,83896,c_bool(False)
DZA,83897,c_bool(False)
DZA,83898,c_bool(False)
DZA,83899,c_bool(False)
DZA,84593,c_bool(False)
DZA,84594,c_bool(False)
DZA,84595,c_bool(False)
DZA,84596,c_bool(False)
DZA,84597,c_bool(False)
DZA,84598,c_bool(False)
DZA,84599,c_bool(False)
DZA,84600,c_bool(False)
DZA,84601,c_bool(False)
DZA,84602,c_bool(False)
DZA,84603,c_bool(False)
DZA,84604,c_bool(False)
DZA,84605,c_bool(False)
DZA,84606,c_bool(False)
DZA,84607,c_bool(False)
DZA,84608,c_bool(False)
DZA,84609,c_bool(False)
DZA,84610,c_bool(False)
DZA,84611,c_bool(False)
DZA,84612,c_bool(False)
DZA,84613,c_bool(False)
DZA,84614,c_bool(False)
DZA,84615,c_bool(False)
DZA,84616,c_bool(False)
DZA,84617,c_bool(False)
DZA,84618,c_bool(False)
DZA,84619,c_bool(False)
DZA,85312,c_bool(False)
DZA,85313,c_bool(False)
DZA,85314,c_bool(False)
DZA,85315,c_bool(False)
DZA,85316,c_bool(False)
DZA,85317,c_bool(False)
DZA,85318,c_bool(False)
DZA,85319,c_bool(False)
DZA,85320,c_bool(False)
DZA,85321,c_bool(False)
DZA,85322,c_bool(False)
DZA,85323,c_bool(False)
DZA,85324,c_bool(False)
DZA,85325,c_bool(False)
DZA,85326,c_bool(False)
DZA,85327,c_bool(False)
DZA,85328,c_bool(False)
DZA,85329,c_bool(False)
DZA,85330,c_bool(False)
DZA,85331,c_bool(False)
DZA,85332,c_bool(False)
DZA,85333,c_bool(False)
DZA,85334,c_bool(False)
DZA,85335,c_bool(False)
DZA,85336,c_bool(False)
DZA,85337,c_bool(False)
DZA,85338,c_bool(False)
DZA,85339,c_bool(False)
DZA,86030,c_bool(False)
DZA,86031,c_bool(False)
DZA,86032,c_bool(False)
DZA,86033,c_bool(False)
DZA,86034,c_bool(False)
DZA,86035,c_bool(False)
DZA,86036,c_bool(False)
DZA,86037,c_bool(False)
DZA,86038,c_bool(False)
DZA,86039,c_bool(False)
DZA,86040,c_bool(False)
DZA,86041,c_bool(False)
DZA,86042,c_bool(False)
DZA,86043,c_bool(False)
DZA,86044,c_bool(False)
DZA,86045,c_bool(False)
DZA,86046,c_bool(False)
DZA,86047,c_bool(False)
DZA,86048,c_bool(False)
DZA,86049,c_bool(False)
DZA,86050,c_bool(False)
DZA,86051,c_bool(False)
DZA,86052,c_bool(False)
DZA,86053,c_bool(False)
DZA,86054,c_bool(False)
DZA,86055,c_bool(False)
DZA,86056,c_bool(False)
DZA,86057,c_bool(False)
DZA,86058,c_bool(False)
DZA,86059,c_bool(False)
DZA,86060,c_bool(False)
DZA,86746,c_bool(False)
DZA,86747,c_bool(False)
DZA,86748,c_bool(False)
DZA,86749,c_bool(False)
DZA,86750,c_bool(False)
DZA,86751,c_bool(False)
DZA,86752,c_bool(False)
DZA,86753,c_bool(False)
DZA,86754,c_bool(False)
DZA,86755,c_bool(False)
DZA,86756,c_bool(False)
DZA,86757,c_bool(False)
DZA,86758,c_bool(False)
DZA,86759,c_bool(False)
DZA,86760,c_bool(False)
DZA,86761,c_bool(False)
DZA,86762,c_bool(False)
DZA,86763,c_bool(False)
DZA,86764,c_bool(False)
DZA,86765,c_bool(False)
DZA,86766,c_bool(False)
DZA,86767,c_bool(False)
DZA,86768,c_bool(False)
DZA,86769,c_bool(False)
DZA,86770,c_bool(False)
DZA,86771,c_bool(False)
DZA,86772,c_bool(False)
DZA,86773,c_bool(False)
DZA,86774,c_bool(False)
DZA,86775,c_bool(False)
DZA,86776,c_bool(False)
DZA,86777,c_bool(False)
DZA,86778,c_bool(False)
DZA,86779,c_bool(False)
DZA,86780,c_bool(False)
DZA,87464,c_bool(False)
DZA,87465,c_bool(False)
DZA,87466,c_bool(False)
DZA,87467,c_bool(False)
DZA,87468,c_bool(False)
DZA,87469,c_bool(False)
