basin,year,land,Value
AGO_ANGC,2080,OTH_A,1.531
AGO_ANGC,2080,CEREAL,1.552
AGO_ANGC,2090,CROP_FLW,5.426
AGO_ANGC,2090,PDR,3.773
AGO_ANGC,2090,GRO,1.628
AGO_ANGC,2090,OSD,1.739
AGO_ANGC,2090,C_B,192.201
AGO_ANGC,2090,OTH_A,1.687
AGO_ANGC,2090,CEREAL,1.68
AGO_ANGC,2100,CROP_FLW,5.695
AGO_ANGC,2100,PDR,3.785
AGO_ANGC,2100,GRO,1.684
AGO_ANGC,2100,OSD,1.751
AGO_ANGC,2100,C_B,201.356
AGO_ANGC,2100,OTH_A,1.752
AGO_ANGC,2100,CEREAL,1.738
AGO_ASII,2005,CROP_FLW,5.522
AGO_ASII,2005,PDR,1.706
AGO_ASII,2005,WHT,2.238
AGO_ASII,2005,GRO,1.112
AGO_ASII,2005,OSD,0.883
AGO_ASII,2005,C_B,62.184
AGO_ASII,2005,OTH_A,0.882
AGO_ASII,2005,CEREAL,1.12
AGO_ASII,2010,CROP_FLW,5.522
AGO_ASII,2010,PDR,2.626
AGO_ASII,2010,WHT,2.301
AGO_ASII,2010,GRO,1.106
AGO_ASII,2010,OSD,1.001
AGO_ASII,2010,C_B,80.859
AGO_ASII,2010,OTH_A,0.898
AGO_ASII,2010,CEREAL,1.115
AGO_ASII,2020,CROP_FLW,5.411
AGO_ASII,2020,PDR,3.006
AGO_ASII,2020,WHT,3.219
AGO_ASII,2020,GRO,1.126
AGO_ASII,2020,OSD,1.098
AGO_ASII,2020,C_B,82.032
AGO_ASII,2020,OTH_A,0.947
AGO_ASII,2020,CEREAL,1.147
AGO_ASII,2030,CROP_FLW,5.313
AGO_ASII,2030,PDR,3.153
AGO_ASII,2030,WHT,3.589
AGO_ASII,2030,GRO,1.171
AGO_ASII,2030,OSD,1.158
AGO_ASII,2030,C_B,88.782
AGO_ASII,2030,OTH_A,1.029
AGO_ASII,2030,CEREAL,1.204
AGO_ASII,2040,CROP_FLW,5.323
AGO_ASII,2040,PDR,3.28
AGO_ASII,2040,WHT,3.92
AGO_ASII,2040,GRO,1.204
AGO_ASII,2040,OSD,1.212
AGO_ASII,2040,C_B,98.931
AGO_ASII,2040,OTH_A,1.098
AGO_ASII,2040,CEREAL,1.259
AGO_ASII,2050,CROP_FLW,5.299
AGO_ASII,2050,PDR,3.387
AGO_ASII,2050,WHT,4.141
AGO_ASII,2050,GRO,1.237
AGO_ASII,2050,OSD,1.253
AGO_ASII,2050,C_B,109.205
AGO_ASII,2050,OTH_A,1.174
AGO_ASII,2050,CEREAL,1.319
AGO_ASII,2060,CROP_FLW,5.29
AGO_ASII,2060,PDR,3.553
AGO_ASII,2060,WHT,4.275
AGO_ASII,2060,GRO,1.274
AGO_ASII,2060,OSD,1.287
AGO_ASII,2060,C_B,118.82
AGO_ASII,2060,OTH_A,1.258
AGO_ASII,2060,CEREAL,1.387
AGO_ASII,2070,CROP_FLW,5.407
AGO_ASII,2070,PDR,3.635
AGO_ASII,2070,WHT,4.314
AGO_ASII,2070,GRO,1.308
AGO_ASII,2070,OSD,1.298
AGO_ASII,2070,C_B,126.964
AGO_ASII,2070,OTH_A,1.33
AGO_ASII,2070,CEREAL,1.456
AGO_ASII,2080,CROP_FLW,5.201
AGO_ASII,2080,PDR,3.635
AGO_ASII,2080,WHT,4.335
AGO_ASII,2080,GRO,1.414
AGO_ASII,2080,OSD,1.329
AGO_ASII,2080,C_B,134.403
AGO_ASII,2080,OTH_A,1.472
AGO_ASII,2080,CEREAL,1.596
AGO_ASII,2090,CROP_FLW,5.516
AGO_ASII,2090,PDR,3.635
AGO_ASII,2090,WHT,4.348
AGO_ASII,2090,GRO,1.447
AGO_ASII,2090,OSD,1.337
AGO_ASII,2090,C_B,139.203
AGO_ASII,2090,OTH_A,1.532
AGO_ASII,2090,CEREAL,1.663
AGO_ASII,2100,CROP_FLW,5.589
AGO_ASII,2100,PDR,3.635
AGO_ASII,2100,WHT,4.361
AGO_ASII,2100,GRO,1.469
AGO_ASII,2100,OSD,1.343
AGO_ASII,2100,C_B,140.671
AGO_ASII,2100,OTH_A,1.594
AGO_ASII,2100,CEREAL,1.709
AGO_CONG,2005,CROP_FLW,6.098
AGO_CONG,2005,PDR,1.931
AGO_CONG,2005,GRO,1.296
AGO_CONG,2005,OSD,1.076
AGO_CONG,2005,C_B,46.541
AGO_CONG,2005,OTH_A,1.088
AGO_CONG,2005,CEREAL,1.296
AGO_CONG,2010,CROP_FLW,6.113
AGO_CONG,2010,PDR,3.046
AGO_CONG,2010,GRO,1.396
AGO_CONG,2010,OSD,1.449
AGO_CONG,2010,C_B,98.106
AGO_CONG,2010,OTH_A,1.07
AGO_CONG,2010,CEREAL,1.399
AGO_CONG,2020,CROP_FLW,6.443
AGO_CONG,2020,PDR,3.333
AGO_CONG,2020,GRO,1.542
AGO_CONG,2020,OSD,1.77
AGO_CONG,2020,C_B,100.373
AGO_CONG,2020,OTH_A,1.088
AGO_CONG,2020,CEREAL,1.546
AGO_CONG,2030,CROP_FLW,6.665
AGO_CONG,2030,PDR,3.364
AGO_CONG,2030,GRO,1.613
AGO_CONG,2030,OSD,1.844
AGO_CONG,2030,C_B,101.707
AGO_CONG,2030,OTH_A,1.1
AGO_CONG,2030,CEREAL,1.618
AGO_CONG,2040,CROP_FLW,6.554
AGO_CONG,2040,PDR,3.391
AGO_CONG,2040,GRO,1.666
AGO_CONG,2040,OSD,2.017
AGO_CONG,2040,C_B,107.08
AGO_CONG,2040,OTH_A,1.111
AGO_CONG,2040,CEREAL,1.671
AGO_CONG,2050,CROP_FLW,6.438
AGO_CONG,2050,PDR,3.402
AGO_CONG,2050,GRO,1.708
AGO_CONG,2050,OSD,2.125
AGO_CONG,2050,C_B,115.518
AGO_CONG,2050,OTH_A,1.124
AGO_CONG,2050,CEREAL,1.713
AGO_CONG,2060,CROP_FLW,6.387
AGO_CONG,2060,PDR,3.5
AGO_CONG,2060,GRO,1.763
AGO_CONG,2060,OSD,2.2
AGO_CONG,2060,C_B,126.241
AGO_CONG,2060,OTH_A,1.14
AGO_CONG,2060,CEREAL,1.768
AGO_CONG,2070,CROP_FLW,6.347
AGO_CONG,2070,PDR,3.705
AGO_CONG,2070,GRO,1.822
AGO_CONG,2070,OSD,2.269
AGO_CONG,2070,C_B,137.826
AGO_CONG,2070,OTH_A,1.161
AGO_CONG,2070,CEREAL,1.828
AGO_CONG,2080,CROP_FLW,6.31
AGO_CONG,2080,PDR,4.052
AGO_CONG,2080,GRO,1.892
AGO_CONG,2080,OSD,2.326
AGO_CONG,2080,C_B,154.862
AGO_CONG,2080,OTH_A,1.188
AGO_CONG,2080,CEREAL,1.899
AGO_CONG,2090,CROP_FLW,6.207
AGO_CONG,2090,PDR,4.194
AGO_CONG,2090,GRO,1.951
AGO_CONG,2090,OSD,2.364
AGO_CONG,2090,C_B,178.24
AGO_CONG,2090,OTH_A,1.226
AGO_CONG,2090,CEREAL,1.958
AGO_CONG,2100,CROP_FLW,6.176
AGO_CONG,2100,PDR,4.23
AGO_CONG,2100,GRO,1.984
AGO_CONG,2100,OSD,2.399
AGO_CONG,2100,C_B,206.172
AGO_CONG,2100,OTH_A,1.248
AGO_CONG,2100,CEREAL,1.991
AGO_ZAMB,2005,CROP_FLW,5.521
AGO_ZAMB,2005,GRO,1.125
AGO_ZAMB,2005,OSD,0.863
AGO_ZAMB,2005,OTH_A,0.921
AGO_ZAMB,2005,CEREAL,1.125
AGO_ZAMB,2010,CROP_FLW,5.52
AGO_ZAMB,2010,GRO,1.125
AGO_ZAMB,2010,OSD,1.19
AGO_ZAMB,2010,OTH_A,1.198
AGO_ZAMB,2010,CEREAL,1.125
AGO_ZAMB,2020,CROP_FLW,5.483
AGO_ZAMB,2020,GRO,1.162
AGO_ZAMB,2020,OSD,1.411
AGO_ZAMB,2020,OTH_A,1.392
AGO_ZAMB,2020,CEREAL,1.162
AGO_ZAMB,2030,CROP_FLW,5.484
AGO_ZAMB,2030,GRO,1.197
AGO_ZAMB,2030,OSD,1.471
AGO_ZAMB,2030,OTH_A,1.499
AGO_ZAMB,2030,CEREAL,1.197
