basin,year,land,Value
XE25,2079,PDR,6.165
XE25,2079,WHT,6.117
XE25,2079,GRO,5.696
XE25,2079,OSD,2.661
XE25,2079,C_B,135.189
XE25,2079,OTH_A,18.811
XE25,2079,CEREAL,5.938
XE25,2080,CROP_FLW,5.843
XE25,2080,PDR,6.165
XE25,2080,WHT,6.123
XE25,2080,GRO,5.704
XE25,2080,OSD,2.660
XE25,2080,C_B,135.781
XE25,2080,OTH_A,18.825
XE25,2080,CEREAL,5.945
XE25,2081,CROP_FLW,5.843
XE25,2081,PDR,6.165
XE25,2081,WHT,6.125
XE25,2081,GRO,5.712
XE25,2081,OSD,2.659
XE25,2081,C_B,136.118
XE25,2081,OTH_A,18.851
XE25,2081,CEREAL,5.950
XE25,2082,CROP_FLW,5.843
XE25,2082,PDR,6.165
XE25,2082,WHT,6.127
XE25,2082,GRO,5.719
XE25,2082,OSD,2.658
XE25,2082,C_B,136.456
XE25,2082,OTH_A,18.878
XE25,2082,CEREAL,5.955
XE25,2083,CROP_FLW,5.844
XE25,2083,PDR,6.165
XE25,2083,WHT,6.129
XE25,2083,GRO,5.727
XE25,2083,OSD,2.657
XE25,2083,C_B,136.794
XE25,2083,OTH_A,18.904
XE25,2083,CEREAL,5.960
XE25,2084,CROP_FLW,5.844
XE25,2084,PDR,6.165
XE25,2084,WHT,6.131
XE25,2084,GRO,5.735
XE25,2084,OSD,2.656
XE25,2084,C_B,137.134
XE25,2084,OTH_A,18.931
XE25,2084,CEREAL,5.965
XE25,2085,CROP_FLW,5.844
XE25,2085,PDR,6.165
XE25,2085,WHT,6.133
XE25,2085,GRO,5.742
XE25,2085,OSD,2.656
XE25,2085,C_B,137.474
XE25,2085,OTH_A,18.957
XE25,2085,CEREAL,5.970
XE25,2086,CROP_FLW,5.844
XE25,2086,PDR,6.165
XE25,2086,WHT,6.135
XE25,2086,GRO,5.750
XE25,2086,OSD,2.655
XE25,2086,C_B,137.815
XE25,2086,OTH_A,18.984
XE25,2086,CEREAL,5.975
XE25,2087,CROP_FLW,5.844
XE25,2087,PDR,6.165
XE25,2087,WHT,6.137
XE25,2087,GRO,5.758
XE25,2087,OSD,2.654
XE25,2087,C_B,138.157
XE25,2087,OTH_A,19.011
XE25,2087,CEREAL,5.980
XE25,2088,CROP_FLW,5.845
XE25,2088,PDR,6.165
XE25,2088,WHT,6.139
XE25,2088,GRO,5.765
XE25,2088,OSD,2.653
XE25,2088,C_B,138.499
XE25,2088,OTH_A,19.037
XE25,2088,CEREAL,5.985
XE25,2089,CROP_FLW,5.845
XE25,2089,PDR,6.165
XE25,2089,WHT,6.141
XE25,2089,GRO,5.773
XE25,2089,OSD,2.652
XE25,2089,C_B,138.843
