region_name,year,type,basin_value,region_value,diff_region-basin,area,diff/area
BFA_NIGE,2050,GL,2514.213,2027.069,-487.145,8300.273123195988,-0.059
BFA_NIGE,2100,CL,597.192,750.323,153.131,8300.273123195988,0.018
BFA_NIGE,2100,FRS,40.643,0.000,-40.643,8300.273123195988,-0.005
BFA_NIGE,2100,GL,3079.030,2584.794,-494.236,8300.273123195988,-0.060
BFA_VOLT,2005,CL,2462.560,2600.717,138.157,17305.176123607434,0.008
BFA_VOLT,2005,FRS,3203.974,0.000,-3203.974,17305.176123607434,-0.185
BFA_VOLT,2005,GL,2629.262,1927.928,-701.334,17305.176123607434,-0.041
BFA_VOLT,2050,CL,4123.318,2784.816,-1338.502,17305.176123607434,-0.077
BFA_VOLT,2050,FRS,1512.352,0.000,-1512.352,17305.176123607434,-0.087
BFA_VOLT,2050,GL,6283.954,4768.934,-1515.020,17305.176123607434,-0.088
BFA_VOLT,2100,CL,4276.535,2786.323,-1490.212,17305.176123607434,-0.086
BFA_VOLT,2100,FRS,584.256,0.000,-584.256,17305.176123607434,-0.034
BFA_VOLT,2100,GL,7834.710,6050.711,-1783.999,17305.176123607434,-0.103
BGD_BBCN,2005,CL,106.254,79.089,-27.165,1705.599102919461,-0.016
BGD_BBCN,2005,FRS,451.957,472.931,20.974,1705.599102919461,0.012
BGD_BBCN,2005,GL,15.531,19.806,4.275,1705.599102919461,0.003
BGD_BBCN,2050,CL,94.717,165.169,70.452,1705.599102919461,0.041
BGD_BBCN,2050,FRS,379.625,380.774,1.149,1705.599102919461,0.001
BGD_BBCN,2050,GL,91.311,18.638,-72.673,1705.599102919461,-0.043
BGD_BBCN,2100,CL,76.824,296.883,220.059,1705.599102919461,0.129
BGD_BBCN,2100,FRS,417.997,245.458,-172.539,1705.599102919461,-0.101
BGD_BBCN,2100,GL,60.781,7.623,-53.159,1705.599102919461,-0.031
BGD_GABR,2005,CL,5076.664,4141.549,-935.115,11956.386298905489,-0.078
BGD_GABR,2005,FRS,1771.197,2191.655,420.458,11956.386298905489,0.035
BGD_GABR,2005,GL,367.554,440.371,72.817,11956.386298905489,0.006
